shopper_id,trip_id,choice,price.heinz,price.hunts,price.delmonte,price.stb,southeast
58,2,stb,1.19,1.53,1.49,0.95,0
59,1,stb,1.46,1.43,1.46,0.99,0
60,1,hunts,1.46,1.49,1.46,0.95,1
61,1,stb,1.46,1.43,1.46,0.79,0
62,1,heinz,0.99,1.39,1.49,0.89,0
63,1,heinz,0.99,1.43,1.46,0.99,0
63,2,heinz,0.79,1.43,1.46,0.99,0
63,3,heinz,0.99,1.43,1.46,0.99,0
63,4,heinz,1.19,1.39,1.49,0.89,0
63,5,hunts,1.46,1.29,1.46,0.95,0
63,6,stb,1.39,1.36,1.39,0.95,0
63,7,stb,1.46,1.43,1.46,0.75,0
64,1,heinz,0.99,1.39,1.49,0.89,1
64,2,heinz,1.19,0.79,1.49,0.95,1
64,3,hunts,0.99,1.19,1.46,0.95,1
64,4,hunts,1.19,1.43,1.46,0.75,1
64,5,stb,1.46,1.43,1.46,0.79,1
65,1,heinz,1.19,1.39,1.49,0.89,0
66,1,heinz,1.19,0.79,1.49,0.95,0
67,1,stb,1.39,1.39,1.49,0.89,0
67,2,stb,1.39,1.39,1.49,0.99,0
68,1,heinz,0.99,1.39,1.49,0.89,0
69,1,heinz,0.99,1.49,1.49,0.89,0
69,2,heinz,1.39,1.39,1.49,0.89,0
69,3,heinz,1.19,1.39,1.49,0.99,0
69,4,heinz,1.19,1.39,1.49,0.89,0
69,5,heinz,1.39,0.89,1.39,0.95,0
70,1,heinz,1.39,1.36,1.49,0.95,0
71,1,hunts,1.46,1.29,1.39,0.99,1
72,1,heinz,1.39,1.36,1.49,0.95,0
72,2,hunts,1.39,0.89,1.49,0.95,0
73,1,heinz,0.99,1.39,1.49,0.89,0
73,2,heinz,0.99,1.36,1.49,0.95,0
74,1,heinz,1.46,1.53,1.49,0.95,0
75,1,heinz,1.19,1.39,1.49,0.89,0
75,2,heinz,1.19,1.53,1.46,0.95,0
75,3,heinz,0.79,1.43,1.46,0.99,0
75,4,hunts,1.39,0.79,1.39,0.95,0
75,5,hunts,1.46,1.53,1.46,0.95,0
75,6,hunts,1.46,1.43,1.46,0.99,0
76,1,hunts,1.46,1.29,1.46,0.95,1
77,1,heinz,0.99,1.39,1.49,0.89,0
77,2,heinz,1.19,1.29,1.49,0.95,0
77,3,heinz,1.19,0.89,1.49,0.89,0
77,4,heinz,0.99,1.49,1.49,0.89,0
77,5,heinz,1.39,1.39,1.49,0.89,0
77,6,heinz,1.19,1.39,1.49,0.89,0
77,7,heinz,0.99,1.39,1.49,0.89,0
77,8,heinz,1.39,1.39,1.49,0.89,0
77,9,heinz,1.19,1.36,1.39,0.95,0
77,10,heinz,1.19,1.36,1.39,0.95,0
77,11,heinz,1.19,1.36,1.39,0.95,0
77,12,heinz,1.19,1.36,1.39,0.95,0
77,13,heinz,1.19,1.36,1.39,0.95,0
77,14,heinz,1.19,1.29,1.39,0.95,0
77,15,hunts,1.46,1.36,1.39,0.95,0
77,16,hunts,1.39,0.79,1.39,0.95,0
77,17,hunts,1.19,1.36,1.39,0.95,0
77,18,hunts,1.46,1.29,1.49,0.95,0
78,1,stb,1.19,1.39,1.49,0.89,0
78,2,stb,1.19,1.29,1.46,0.95,0
79,1,hunts,1.19,0.89,1.49,0.99,1
79,2,stb,1.19,1.39,1.49,0.89,1
79,3,stb,1.19,1.19,1.49,0.95,1
79,4,stb,1.46,1.53,1.46,0.95,1
79,5,stb,1.46,1.43,0.99,0.75,1
79,6,stb,1.46,1.43,0.99,0.75,1
79,7,stb,1.39,1.39,0.99,0.79,1
79,8,stb,1.39,1.31,0.99,0.99,1
80,1,heinz,1.19,1.39,1.49,0.89,0
80,2,heinz,1.19,1.36,1.39,0.95,0
80,3,heinz,1.19,1.53,1.46,0.95,0
80,4,heinz,0.99,1.53,1.46,0.95,0
81,1,heinz,1.19,1.29,1.39,0.95,0
81,2,heinz,0.79,1.43,1.45,0.99,0
81,3,heinz,0.99,1.39,1.49,0.89,0
81,4,heinz,1.39,0.89,1.39,0.95,0
81,5,heinz,1.39,0.89,1.49,0.95,0
81,6,hunts,1.46,1.43,1.45,0.99,0
81,7,hunts,1.39,0.89,1.49,0.89,0
81,8,hunts,1.39,0.89,1.49,0.95,0
81,9,stb,1.39,1.49,1.49,0.89,0
81,10,stb,0.99,1.39,1.49,0.89,0
81,11,stb,1.39,1.39,1.49,0.89,0
81,12,stb,0.99,1.29,1.39,0.95,0
81,13,stb,1.46,1.43,1.39,0.75,0
81,14,stb,1.46,1.43,1.45,0.99,0
81,15,stb,0.99,1.36,1.49,0.95,0
81,16,stb,1.46,1.29,1.49,0.95,0
81,17,stb,1.19,1.53,1.49,0.95,0
81,18,stb,1.19,1.53,1.49,0.95,0
81,19,stb,1.19,1.53,1.49,0.95,0
81,20,stb,1.46,1.53,1.49,0.95,0
81,21,stb,1.46,1.43,1.49,0.75,0
81,22,stb,1.46,1.43,1.49,0.75,0
82,1,heinz,0.99,1.39,1.49,0.89,0
83,1,heinz,0.99,1.39,1.49,0.89,0
83,2,heinz,1.39,1.36,1.39,0.95,0
83,3,heinz,1.46,1.36,1.39,0.95,0
83,4,heinz,1.46,1.29,1.49,0.95,0
83,5,heinz,1.19,1.19,1.47,0.79,0
84,1,heinz,1.39,1.39,1.49,0.89,0
85,1,hunts,1.46,1.43,1.49,0.79,1
85,2,stb,1.46,1.36,1.39,0.95,1
86,1,hunts,1.46,1.43,1.46,0.79,1
86,2,stb,1.19,1.43,1.46,0.75,1
87,1,heinz,1.47,1.43,1.45,0.99,0
88,1,heinz,0.99,1.39,1.49,0.89,0
89,1,stb,1.39,1.39,1.49,0.89,0
90,1,delmonte,1.46,1.43,0.89,0.99,0
91,1,heinz,1.19,1.19,1.49,0.95,0
91,2,heinz,0.99,1.39,1.49,0.89,0
91,3,heinz,1.19,1.36,1.39,0.95,0
91,4,heinz,1.19,1.29,1.49,0.95,0
92,1,stb,1.39,1.39,1.49,0.89,0
92,2,stb,0.99,1.43,1.46,0.99,0
93,1,hunts,1.19,1.29,1.39,0.95,1
94,1,heinz,1.39,1.36,1.39,0.95,0
94,2,stb,0.99,1.49,1.49,0.99,0
95,1,heinz,1.39,1.39,1.49,0.89,0
95,2,heinz,0.99,1.39,1.49,0.89,0
95,3,heinz,0.79,1.43,1.45,0.99,0
95,4,hunts,1.39,0.89,1.39,0.95,0
95,5,delmonte,0.99,1.49,1.39,0.89,0
95,6,stb,1.46,1.43,1.49,0.79,0
96,1,heinz,1.46,1.29,1.49,0.95,0
97,1,hunts,1.19,1.29,1.39,0.95,1
98,1,hunts,0.99,1.19,1.39,0.95,1
99,1,heinz,0.99,1.49,1.29,0.99,0
99,2,heinz,0.99,1.36,1.49,0.95,0
99,3,heinz,1.46,1.29,1.49,0.95,0
99,4,heinz,0.99,1.19,1.46,0.95,0
99,5,heinz,0.99,1.53,1.46,0.95,0
99,6,heinz,1.46,1.43,1.46,0.79,0
99,7,heinz,0.79,1.43,0.99,0.75,0
99,8,hunts,1.19,0.89,1.49,0.89,0
99,9,hunts,1.19,0.79,1.49,0.95,0
99,10,hunts,1.39,0.89,1.49,0.95,0
99,11,delmonte,1.46,1.43,0.89,0.79,0
99,12,stb,1.39,1.39,0.99,0.79,0
100,1,heinz,1.39,1.39,1.49,0.89,0
100,2,hunts,1.46,1.29,1.39,0.95,0
101,1,stb,1.39,1.36,1.39,0.95,0
102,1,heinz,0.99,1.49,1.49,0.89,0
103,1,heinz,1.46,1.36,1.39,0.95,0
103,2,heinz,1.46,1.43,1.45,0.99,0
103,3,heinz,0.99,1.39,1.49,0.89,0
103,4,heinz,0.99,1.36,1.39,0.95,0
103,5,heinz,1.19,1.36,1.39,0.95,0
103,6,heinz,0.99,1.49,1.46,0.95,0
103,7,heinz,1.46,1.53,1.49,0.95,0
103,8,heinz,1.46,1.53,1.49,0.95,0
104,1,heinz,0.99,1.53,1.49,0.95,0
105,1,heinz,0.99,1.19,1.46,0.95,0
106,1,heinz,0.99,1.53,1.46,0.95,0
106,2,hunts,1.46,1.29,1.46,0.95,0
107,1,heinz,0.79,1.43,1.45,0.99,0
108,1,heinz,0.99,1.49,1.29,0.99,0
108,2,heinz,1.39,0.89,1.49,0.95,0
109,1,heinz,1.39,1.36,1.39,0.95,1
109,2,hunts,1.39,1.39,1.49,0.89,1
109,3,hunts,1.39,0.89,1.39,0.95,1
110,1,heinz,1.46,1.43,1.45,0.99,0
111,1,heinz,1.39,1.49,1.49,0.89,1
111,2,hunts,1.39,0.79,1.39,0.95,1
111,3,hunts,1.46,1.19,1.49,0.95,1
111,4,stb,1.46,1.49,1.49,0.95,1
112,1,heinz,0.99,1.39,1.49,0.89,0
113,1,heinz,0.99,1.39,1.49,0.89,0
114,1,heinz,1.39,1.49,1.49,0.99,0
114,2,stb,1.19,1.36,1.39,0.95,0
114,3,stb,1.46,1.19,1.39,0.79,0
114,4,stb,1.46,1.43,1.39,0.75,0
115,1,stb,1.19,1.39,1.49,0.99,0
116,1,hunts,1.19,1.29,1.39,0.95,1
117,1,heinz,1.39,1.39,1.49,0.89,0
117,2,heinz,0.99,1.39,1.49,0.89,0
117,3,heinz,0.79,1.43,1.45,0.99,0
117,4,hunts,1.46,1.19,1.47,0.79,0
117,5,hunts,1.19,1.53,1.47,0.95,0
117,6,stb,1.19,1.29,1.49,0.95,0
118,1,stb,1.39,1.36,1.39,0.95,0
118,2,stb,1.46,1.36,1.46,0.95,0
119,1,heinz,0.99,1.49,1.49,0.89,0
120,1,stb,1.46,1.43,1.49,0.79,0
121,1,stb,0.99,1.39,1.49,0.89,0
121,2,stb,1.39,0.99,1.39,0.99,0
121,3,stb,1.39,0.79,1.39,0.95,0
122,1,hunts,1.46,1.43,0.99,0.99,1
123,1,heinz,0.99,1.36,1.49,0.95,0
124,1,heinz,1.39,0.79,1.39,0.95,1
124,2,heinz,1.19,1.36,1.39,0.95,1
124,3,hunts,0.99,1.43,1.49,0.75,1
124,4,hunts,1.47,1.43,0.99,0.99,1
124,5,hunts,1.47,1.43,1.45,0.99,1
124,6,stb,1.39,1.36,1.39,0.95,1
125,1,heinz,1.39,1.39,1.39,0.89,1
125,2,hunts,1.46,1.49,1.49,0.95,1
125,3,hunts,1.46,1.43,1.49,0.99,1
125,4,hunts,1.46,1.43,1.49,0.75,1
126,1,stb,1.39,1.39,1.49,0.89,0
127,1,hunts,1.47,1.43,1.45,0.99,1
128,1,heinz,1.19,1.49,1.29,0.99,0
128,2,heinz,1.19,1.49,1.49,0.95,0
129,1,heinz,1.39,1.49,1.49,0.89,0
130,1,heinz,0.99,1.39,1.49,0.89,0
130,2,heinz,1.46,1.43,1.46,0.79,0
131,1,heinz,0.99,1.49,1.39,0.89,0
131,2,heinz,0.99,1.39,1.49,0.89,0
131,3,hunts,1.39,0.89,1.39,0.95,0
131,4,stb,1.19,1.49,1.39,0.89,0
131,5,stb,1.39,1.49,1.49,0.89,0
131,6,stb,1.39,1.39,1.49,0.89,0
131,7,stb,1.39,1.39,1.49,0.89,0
131,8,stb,1.19,1.39,1.49,0.89,0
131,9,stb,1.39,1.39,1.49,0.89,0
131,10,stb,1.39,0.89,1.39,0.89,0
131,11,stb,1.39,1.36,1.39,0.95,0
131,12,stb,1.39,1.36,1.39,0.95,0
132,1,heinz,0.99,1.43,1.46,0.99,0
132,2,hunts,1.39,0.79,1.39,0.95,0
133,1,heinz,0.99,1.19,1.46,0.95,0
134,1,stb,1.46,1.43,1.46,0.99,0
135,1,stb,1.46,1.29,1.39,0.95,0
136,1,hunts,1.19,1.19,1.39,0.79,1
137,1,heinz,1.46,1.43,1.49,0.99,0
138,1,stb,1.39,1.39,1.49,0.89,0
139,1,heinz,0.99,1.49,1.49,0.89,0
140,1,heinz,0.99,1.39,1.49,0.89,0
140,2,heinz,1.39,0.89,1.39,0.89,0
141,1,hunts,1.19,0.89,1.49,0.99,1
142,1,heinz,1.39,1.39,1.49,0.89,0
143,1,hunts,1.47,1.43,1.45,0.99,1
144,1,heinz,1.39,0.89,1.39,0.95,0
145,1,heinz,1.19,1.39,1.49,0.89,0
146,1,heinz,1.46,1.43,1.46,0.99,0
147,1,heinz,0.99,1.53,1.46,0.95,0
147,2,stb,1.19,1.39,1.49,0.89,0
147,3,stb,1.19,1.39,1.49,0.89,0
147,4,stb,1.19,0.89,1.49,0.89,0
148,1,hunts,1.19,1.36,1.49,0.99,1
149,1,hunts,1.19,1.19,1.47,0.95,0
149,2,delmonte,1.46,1.53,0.89,0.99,0
150,1,hunts,1.39,0.89,1.39,0.99,1
151,1,delmonte,1.19,0.89,1.39,0.95,0
152,1,heinz,1.19,0.89,1.49,0.89,0
152,2,heinz,0.99,1.49,1.49,0.89,0
152,3,heinz,0.99,1.39,1.49,0.89,0
153,1,heinz,0.99,1.36,1.39,0.95,0
153,2,heinz,1.39,1.43,1.45,0.99,0
153,3,delmonte,0.99,1.39,1.49,0.89,0
153,4,delmonte,1.46,1.44,1.46,0.79,0
153,5,stb,0.99,1.43,1.49,0.75,0
154,1,heinz,1.39,1.36,1.49,0.95,0
155,1,stb,1.19,1.53,1.49,0.95,0
156,1,heinz,0.99,1.39,1.49,0.89,0
157,1,stb,1.46,1.43,1.46,0.79,0
158,1,heinz,1.39,1.39,1.49,0.89,0
159,1,heinz,1.19,1.36,1.39,0.95,0
159,2,stb,1.19,0.89,1.49,0.89,0
160,1,heinz,1.39,1.36,1.49,0.95,0
160,2,stb,1.19,1.39,1.49,0.89,0
161,1,stb,1.46,1.43,1.46,0.99,0
161,2,stb,1.46,1.43,1.46,0.75,0
161,3,stb,1.46,1.43,1.46,0.99,0
161,4,stb,1.39,1.39,1.45,0.79,0
161,5,stb,1.46,1.36,1.39,0.95,0
162,1,delmonte,1.46,1.43,0.99,0.99,0
163,1,heinz,0.99,1.36,1.49,0.95,1
163,2,heinz,0.99,0.89,1.39,0.89,1
163,3,heinz,0.99,1.39,1.49,0.89,1
163,4,hunts,1.39,1.39,1.49,0.89,1
163,5,hunts,1.19,0.89,1.49,0.99,1
163,6,hunts,1.46,1.36,1.49,0.95,1
163,7,hunts,1.19,1.53,1.46,0.79,1
164,1,heinz,1.46,1.43,1.45,0.99,0
164,2,stb,0.99,1.43,1.49,0.75,0
165,1,heinz,0.99,1.19,1.49,0.95,0
165,2,stb,1.19,1.19,1.47,0.79,0
166,1,heinz,0.99,1.43,1.46,0.79,0
166,2,hunts,1.46,1.29,1.39,0.95,0
167,1,heinz,0.99,1.36,1.39,0.95,0
167,2,heinz,1.46,1.43,1.45,0.99,0
168,1,heinz,1.19,1.43,1.46,0.75,0
169,1,heinz,1.19,1.49,1.39,0.89,0
169,2,heinz,1.19,1.39,1.49,0.89,0
169,3,heinz,1.19,1.39,1.49,0.89,0
169,4,hunts,1.46,1.43,1.49,0.79,0
169,5,hunts,1.47,1.43,1.45,0.99,0
169,6,hunts,1.47,1.43,1.45,0.99,0
169,7,stb,1.19,1.49,1.39,0.89,0
169,8,stb,1.39,1.36,1.39,0.95,0
170,1,hunts,1.46,1.29,1.49,0.95,1
171,1,hunts,1.46,1.53,1.46,0.95,1
171,2,hunts,1.39,1.36,1.39,0.95,1
172,1,stb,1.46,1.43,0.99,0.75,0
173,1,heinz,1.39,1.36,1.39,0.95,0
174,1,heinz,1.19,1.39,1.49,0.89,0
174,2,heinz,1.39,1.36,1.39,0.95,0
174,3,heinz,1.19,1.29,1.39,0.95,0
174,4,heinz,0.99,1.53,1.49,0.95,0
175,1,hunts,1.19,1.19,1.39,0.95,1
176,1,hunts,1.19,1.36,1.39,0.95,1
177,1,hunts,1.46,1.53,1.46,0.95,1
178,1,heinz,1.19,1.29,1.49,0.95,0
178,2,hunts,0.99,1.19,1.46,0.95,0
179,1,heinz,1.19,1.49,1.39,0.89,0
179,2,heinz,0.99,1.39,1.49,0.89,0
179,3,stb,1.19,1.49,1.39,0.89,0
179,4,stb,1.39,0.89,1.39,0.89,0
180,1,heinz,1.39,1.39,1.49,0.89,0
180,2,heinz,1.19,1.39,1.49,0.89,0
181,1,stb,1.39,1.49,1.49,0.89,0
182,1,stb,1.39,1.39,1.49,0.89,0
182,2,stb,0.99,1.39,1.49,0.89,0
183,1,heinz,1.46,1.36,1.39,0.95,0
183,2,heinz,1.46,1.53,1.46,0.95,0
183,3,heinz,1.39,1.31,0.99,0.99,0
183,4,heinz,1.39,0.89,1.39,0.89,0
184,1,heinz,0.99,1.39,1.49,0.89,0
185,1,heinz,1.19,1.19,1.46,0.95,0
185,2,stb,1.19,1.39,1.49,0.99,0
186,1,stb,1.39,1.39,1.49,0.89,0
187,1,heinz,0.99,1.36,1.39,0.95,0
187,2,heinz,0.99,1.36,1.39,0.95,0
187,3,heinz,1.46,1.43,1.45,0.99,0
187,4,heinz,1.19,1.36,1.46,0.95,0
188,1,delmonte,1.46,1.43,0.89,0.99,0
189,1,hunts,1.39,0.89,1.39,0.95,1
190,1,heinz,1.39,1.36,1.39,0.95,0
190,2,heinz,1.19,1.36,1.39,0.95,0
190,3,heinz,1.19,1.36,1.39,0.95,0
190,4,heinz,0.99,1.36,1.39,0.95,0
190,5,heinz,1.19,1.36,1.39,0.95,0
190,6,heinz,1.19,1.36,1.39,0.95,0
190,7,heinz,1.46,1.29,1.39,0.95,0
190,8,heinz,1.46,1.19,1.39,0.79,0
190,9,heinz,1.46,1.43,1.45,0.99,0
191,1,heinz,1.46,1.53,1.46,0.95,0
191,2,heinz,1.46,1.43,1.46,0.75,0
191,3,heinz,1.39,1.39,1.46,0.79,0
191,4,hunts,1.19,1.39,1.49,0.89,0
192,1,heinz,0.99,1.49,1.49,0.89,0
192,2,hunts,1.39,0.89,1.39,0.95,0
192,3,delmonte,1.39,1.39,1.49,0.89,0
193,1,heinz,1.39,1.49,1.49,0.99,0
194,1,heinz,0.99,0.99,1.46,0.95,0
194,2,heinz,0.99,1.43,1.46,0.99,0
194,3,hunts,1.39,0.79,1.39,0.95,0
194,4,stb,1.19,1.39,1.49,0.89,0
194,5,stb,1.46,1.43,1.46,0.75,0
195,1,hunts,1.39,0.79,1.39,0.95,1
195,2,hunts,1.39,1.36,1.39,0.95,1
196,1,heinz,0.99,1.39,1.49,0.89,0
196,2,heinz,1.46,1.43,0.99,0.75,0
197,1,hunts,1.46,1.29,1.39,0.95,1
198,1,heinz,0.99,1.36,1.39,0.95,0
198,2,heinz,1.46,1.36,1.49,0.95,0
199,1,stb,1.39,1.39,1.39,0.89,0
200,1,delmonte,1.39,1.39,1.29,0.99,0
200,2,stb,0.99,1.36,1.39,0.95,0
201,1,stb,1.19,1.49,1.39,0.89,0
201,2,stb,1.19,1.36,1.39,0.95,0
201,3,stb,1.46,1.44,1.46,0.79,0
202,1,stb,0.99,1.49,1.49,0.89,0
202,2,stb,1.39,1.49,1.49,0.89,0
202,3,stb,1.39,1.39,1.49,0.89,0
202,4,stb,1.39,1.39,1.49,0.89,0
202,5,stb,1.19,1.39,1.49,0.89,0
202,6,stb,1.19,1.39,1.49,0.89,0
202,7,stb,1.19,1.39,1.49,0.89,0
202,8,stb,1.39,1.39,1.39,0.89,0
202,9,stb,1.19,1.36,1.39,0.95,0
203,1,heinz,0.99,1.49,1.49,0.89,1
203,2,hunts,1.39,0.89,1.39,0.95,1
203,3,hunts,1.39,0.79,1.39,0.95,1
204,1,stb,1.19,1.36,1.47,0.95,0
204,2,stb,1.46,1.53,1.47,0.99,0
205,1,stb,1.19,1.39,1.49,0.89,0
205,2,stb,1.39,1.36,1.39,0.95,0
205,3,stb,0.99,1.53,1.49,0.95,0
206,1,heinz,0.99,1.36,1.39,0.95,0
207,1,hunts,1.46,1.29,1.39,0.95,1
207,2,stb,1.39,1.49,1.49,0.89,1
208,1,hunts,1.39,1.36,1.39,0.95,1
209,1,heinz,1.19,1.19,1.39,0.95,1
209,2,heinz,1.46,1.43,0.89,0.99,1
209,3,hunts,1.19,1.29,1.39,0.95,1
209,4,hunts,1.19,1.19,1.39,0.79,1
209,5,hunts,1.46,1.29,1.39,0.95,1
209,6,stb,1.19,1.39,1.49,0.89,1
210,1,heinz,1.19,1.49,1.39,0.89,0
210,2,heinz,1.39,1.39,1.49,0.89,0
210,3,heinz,1.19,1.39,1.49,0.89,0
210,4,heinz,1.39,1.36,1.39,0.99,0
210,5,heinz,1.39,0.79,1.39,0.95,0
210,6,heinz,1.19,1.36,1.39,0.95,0
210,7,heinz,1.46,1.29,1.46,0.95,0
210,8,stb,1.39,1.39,1.49,0.89,0
211,1,heinz,0.99,1.43,1.46,0.99,0
212,1,stb,0.99,1.49,1.49,0.89,0
212,2,stb,0.99,1.36,1.39,0.95,0
212,3,stb,1.19,1.39,1.49,0.89,0
213,1,heinz,0.79,1.43,1.45,0.99,0
